img_idx,img_name,face_detected,confidence,bbox_x,bbox_y,bbox_w,bbox_h,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_l_x,mouth_l_y,mouth_r_x,mouth_r_y,ipd_before,tilt_before,ipd_after,tilt_after,is_duplicate,error
0,0.jpg,True,1.0,0,0,112,112,40.056331634521484,50.960628509521484,74.26493072509766,51.65694046020508,51.75856399536133,71.6445083618164,43.193626403808594,88.23712158203125,72.27893829345703,89.15199279785156,34.215687,1.1660876,35.749073,0.9427865,False,
1,1.jpg,True,1.0,0,0,112,112,39.10633087158203,47.81182861328125,76.900146484375,47.82339859008789,57.13452911376953,70.32933044433594,42.15991973876953,89.0597152709961,74.28312683105469,90.82367706298828,37.79382,0.017540192,35.63415,-0.538312,False,
2,2.jpg,True,1.0,0,0,112,112,39.63665008544922,49.91061782836914,72.55054473876953,49.415645599365234,54.73009490966797,74.63008880615234,41.962005615234375,90.12784576416016,70.14033508300781,89.5540542602539,32.917618,-0.8615717,34.005466,-1.1376117,False,
3,3.jpg,True,1.0,0,0,112,112,38.6197624206543,50.378517150878906,73.50068664550781,49.610862731933594,54.24821090698242,73.71153259277344,39.78357696533203,89.40203094482422,71.2667465209961,88.39778900146484,34.88937,-1.2607539,35.407707,-1.8808062,False,
4,4.jpg,True,1.0,0,0,112,112,41.411094665527344,49.76300048828125,73.3790283203125,49.60952377319336,52.30168914794922,73.95489501953125,41.63369369506836,88.3860855102539,70.62162017822266,88.60123443603516,31.968302,-0.27507252,33.143948,-1.7365773,False,
5,5.jpg,True,1.0,0,0,112,112,38.6197624206543,50.378517150878906,73.50068664550781,49.610862731933594,54.24821090698242,73.71153259277344,39.78357696533203,89.40203094482422,71.2667465209961,88.39778900146484,34.88937,-1.2607539,35.407707,-1.8808062,True,
6,6.jpg,True,1.0,0,0,112,112,42.85679244995117,52.29478073120117,76.52075958251953,51.14474105834961,50.239784240722656,68.0379638671875,45.758602142333984,92.28388214111328,70.1800537109375,92.81189727783203,33.683605,-1.9565966,33.69018,-2.960948,False,
7,7.jpg,True,1.0,0,0,112,112,43.50008010864258,52.77875900268555,73.07364654541016,54.05927276611328,48.666259765625,67.8872299194336,44.142642974853516,89.61248016357422,72.56503295898438,91.4367904663086,29.601276,2.4793165,31.973661,0.5801929,False,
8,8.jpg,True,1.0,0,0,112,112,38.249549865722656,51.150089263916016,71.05105590820312,52.2734375,54.734561920166016,69.0801010131836,41.30824661254883,91.41326904296875,65.68831634521484,92.5596694946289,32.820736,1.9614332,34.59967,0.20932683,False,
9,9.jpg,True,1.0,0,0,112,112,36.316558837890625,52.16963195800781,70.82139587402344,52.60455322265625,59.24209976196289,68.93960571289062,41.72404098510742,93.19680786132812,69.77074432373047,93.15631866455078,34.50758,0.72215474,34.334045,1.8019143,False,
