img1_path,img2_path,true_label
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/0.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/1.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/2.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/3.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/4.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/5.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/6.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/7.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/8.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/9.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/10.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/11.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/12.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/13.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/14.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/15.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/16.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/17.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/18.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/19.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/20.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/21.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/22.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/23.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/24.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/25.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/26.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/27.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/28.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/29.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/30.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/31.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/32.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/33.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/34.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/35.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/36.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/37.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/38.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/39.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/40.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/41.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/42.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/43.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/44.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/45.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/46.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/47.jpg,1
/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/48.jpg,/Users/jakub/Desktop/NASK_ZADANIE/data/agedb/imgs/49.jpg,1
